id,defineid,en_US,ar_AE,pt_BR,es_AR,ru_RU,uk_UA
35093,stringid_4gna,4G Internet is not available,شبكة الإنترنت 4G غير متاحة,Internet 4G não está disponível,Internet 4G no está disponible,4G интернет недоступен,4G інтернет недоступний
35094,stringid_simng,Your SIM cannot be accessed,لا يمكن الوصول إلى SIM,Seu SIM não pode ser acessado,No se puede acceder a tu SIM,Нет доступа к вашей СИМ-карте,Немає доступу до вашої сім-карті
35095,stringid_simpuk,PUK Locked,تم غلق رمز PUK,PUK bloqueado,PUK bloqueado,Заблокировано ПУК-кодом,Заблоковано ПУК-кодом
35096,stringid_na_35096,Please ensure your SIM card is not locked,يرجى التأكد من عدم غلق بطاقة SIM,"Por favor, verifique se o seu cartão SIM não está bloqueado","Por favor, asegúrese de que su tarjeta SIM no está bloqueada","Пожалуйста, убедитесь, что ваша СИМ-карта не заблокирована","Будь ласка, переконайтеся, що ваша сім-карта не заблокована"
35097,stringid_na_35097,Please ensure your SIM card is unlocked,يرجى التأكد من إلغاء تأمين بطاقة SIM,"Por favor, verifique se o seu cartão SIM está desbloqueado","Por favor, asegúrese de que su tarjeta SIM está desbloqueada","Пожалуйста, убедитесь, что ваша СИМ-карта разблокирована","Будь ласка, переконайтеся, що ваша сім-карта розблокована"
35098,stringid_simnginform,Please ensure your SIM card can be accessed,يرجى التأكد من إمكانية الوصول إلى بطاقة SIM,"Por favor, verifique se o seu cartão SIM pode ser acessado","Por favor, asegúrese de que se pueda acceder a su tarjeta SIM","Пожалуйста, убедитесь, что к вашей СИМ-карта имеется доступ","Будь ласка, переконайтеся, що до вашої СІМ-карта є доступ"
35099,stringid_simpukinform,Please call your carrier to obtain your PUK code and unlock it,يرجى الاتصال بمشغل شبكة الهاتف المحمول للحصول على رمز PUK وإلغاء تأمينه,"Por favor, ligue para sua operadora para obter e desbloquear seu código PUK","Por favor, llame a su operador para obtener su código PUK y desbloquearlo","Пожалуйста, позвоните вашему оператору для получения ПУК-кода и разблокируйте ее","Будь ласка, зателефонуйте своєму оператору, щоб отримати ПУК-код та розблокувати його"
35100,stringid_mydriveapphfpfail,Unable to make the call.;; Please ensure your phone is connected via Bluetooth.,Unable to make the call.;; Please ensure your phone is connected via Bluetooth.,Unable to make the call.;; Please ensure your phone is connected via Bluetooth.,Unable to make the call.;; Please ensure your phone is connected via Bluetooth.,Unable to make the call.;; Please ensure your phone is connected via Bluetooth.,Unable to make the call.;; Please ensure your phone is connected via Bluetooth.
35101,stringid_functiondisabled,Function disabled while My Drive Connect is in use,Function disabled while My Drive Connect is in use,Function disabled while My Drive Connect is in use,Function disabled while My Drive Connect is in use,Function disabled while My Drive Connect is in use,Function disabled while My Drive Connect is in use
35102,stringid_navibasicdata0,All map files are missing,All map files are missing,All map files are missing,All map files are missing,All map files are missing,All map files are missing
35103,stringid_navibasicdata1,All voice files are missing,All voice files are missing,All voice files are missing,All voice files are missing,All voice files are missing,All voice files are missing
35104,stringid_navibasicdata2,All lang files are missing,All lang files are missing,All lang files are missing,All lang files are missing,All lang files are missing,All lang files are missing
35105,stringid_navibasicdata3,No valid license found,No valid license found,No valid license found,No valid license found,No valid license found,No valid license found
35106,stringid_navibasicdata4,sys.txt is missing,sys.txt is missing,sys.txt is missing,sys.txt is missing,sys.txt is missing,sys.txt is missing
35107,stringid_navibasicdata5,data.zip is missing,data.zip is missing,data.zip is missing,data.zip is missing,data.zip is missing,data.zip is missing
35108,stringid_navibasicdata6,global_cfg.zip is missing,global_cfg.zip is missing,global_cfg.zip is missing,global_cfg.zip is missing,global_cfg.zip is missing,global_cfg.zip is missing
35109,stringid_navibasicdata7,SD id cannot be read,SD id cannot be read,SD id cannot be read,SD id cannot be read,SD id cannot be read,SD id cannot be read
35110,stringid_navibasicdata8,Vehicle identification cannot be read,Vehicle identification cannot be read,Vehicle identification cannot be read,Vehicle identification cannot be read,Vehicle identification cannot be read,Vehicle identification cannot be read
35111,stringid_navibasicdata9,Device ID cannot be read,Device ID cannot be read,Device ID cannot be read,Device ID cannot be read,Device ID cannot be read,Device ID cannot be read
35112,stringid_navimapwarning0,SD Card region does not match,SD Card region does not match,SD Card region does not match,SD Card region does not match,SD Card region does not match,SD Card region does not match
35113,stringid_notification,Notification,Notification,Notification,Notification,Notification,Notification
35114,stringid_resetincomplete,Factory reset incomplete!!!,Factory reset incomplete!!!,Factory reset incomplete!!!,Factory reset incomplete!!!,Factory reset incomplete!!!,Factory reset incomplete!!!
35115,stringid_resetcomplete,Factory reset done!,Factory reset done!,Factory reset done!,Factory reset done!,Factory reset done!,Factory reset done!
35114,stringid_navibasicdata10,Platform ID cannot be read,Platform ID cannot be read,Platform ID cannot be read,Platform ID cannot be read,Platform ID cannot be read,Platform ID cannot be read

